xid,name,rate,osm,wikidata,kinds,point.lon,point.lat
W69032379,Chapelle Saint-Ludan,7,way/69032379,Q14627908,"religion,churches,interesting_places,other_churches",7.6657490730285645,48.46792984008789
W110517091,Michaelskapelle,7,way/110517091,Q1930183,"religion,churches,interesting_places,catholic_churches",7.752358436584473,48.147335052490234
N4280509293,St. Michaelskapelle Riegel,7,node/4280509293,Q1930183,"religion,churches,interesting_places,other_churches",7.751694679260254,48.14729309082031
N5728684021,ehem. Kirche St. Martin,7,node/5728684021,Q14544410,"religion,historic,monasteries,archaeology,interesting_places,other_archaeological_sites",7.943150043487549,48.08155822753906
N5728684026,ehem. Kirche St. Peter,7,node/5728684026,Q14544410,"religion,historic,monasteries,archaeology,interesting_places,other_archaeological_sites",7.949779987335205,48.08445739746094
W60780043,Église protestante Saint-Michel d'Allenwiller,7,way/60780043,Q21202194,"religion,churches,interesting_places,other_churches",7.374629497528076,48.6550407409668
W722203201,Jewish cemetery in Saverne,7,way/722203201,Q18635505,"cemeteries,historic,burial_places,interesting_places",7.347217559814453,48.73601150512695
N5076760337,Ancienne Papeterie Pasquay,7,node/5076760337,Q14627982,"factories,industrial_facilities,interesting_places",7.422715663909912,48.63251495361328
N1685927757,Château du Kochersberg,7,node/1685927757,Q1012697,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.529913425445557,48.664947509765625
W354313999,Château d'Urendorf,7,way/354313999,Q15940103,"fortifications,historic,interesting_places,castles",7.562848091125488,48.56354904174805
W120333133,Église Saint-Léger de Bouxwiller (Bas-Rhin),7,way/120333133,Q3582438,"religion,churches,interesting_places,catholic_churches",7.478429794311523,48.82302474975586
W164301426,Thermes gallo-romains de Mackwiller,7,way/164301426,Q14628630,"architecture,historic_architecture,historic,archaeology,interesting_places,baths_and_saunas,saunas,other_archaeological_sites,amusements,other_buildings_and_structures",7.1789231300354,48.92396545410156
